Americium-241;water;ground-, long-term;kilo Becquerel;1d090e68-dd03-478b-82d4-09695ffc939a
Xenon-138;air;unspecified;kilo Becquerel;2cbfe861-7436-4a43-8892-f057320dc57d
Ethanol;water;surface water;kilogram;42ebce6e-222e-442b-be25-3d8f711ce5cf
Mercury;soil;unspecified;kilogram;f7eca11f-546f-4712-ad80-724254685596
Dimethyl malonate;air;non-urban air or from high stacks;kilogram;32bd196f-401c-4ece-bc45-a3b5ab7fd6fc
Heptane;air;unspecified;kilogram;1ec6c4b4-ee5f-4788-8683-c95a84d6d63c
Tin;soil;forestry;kilogram;c67e3ba8-ddce-4931-b4b0-f4f9a56ccf40
Methane, dichloro-, HCC-30;water;ocean;kilogram;0a7b2a91-5d35-400b-9a9e-30e195abfe73
2-Methyl-2-butene;water;surface water;kilogram;2df5a2fe-1ab2-48e7-a9a6-1085703b17be
Selenium;water;unspecified;kilogram;6284e146-54b2-4067-a478-9b8ee24c6400
Monochloroethane;water;ground-, long-term;kilogram;48cb6314-1cbe-4ab1-9374-00720b682531
Benzene, ethyl-;air;unspecified;kilogram;88ef28f1-cfd5-44a0-ac34-01acf2db84a0
Zinc-65;water;ground-, long-term;kilo Becquerel;01d052a5-9c4b-4c3a-8593-2e651c0a5bdf
COD, Chemical Oxygen Demand;water;ocean;kilogram;ec76fb5c-b402-416b-825c-53e074fe7525
Sodium dichromate;air;low population density, long-term;kilogram;64a408f9-a93b-47c8-863e-3e239fb1b118
Pendimethalin;air;non-urban air or from high stacks;kilogram;e4e17609-7a80-455d-a4e3-88af8695f987
Propanol;water;ground-, long-term;kilogram;099aeca3-9b1a-44be-9b67-7bb90dffe37c
Chloride;soil;forestry;kilogram;66f99038-3c27-45fa-9152-378833cdfb4a
o-Dichlorobenzene;water;unspecified;kilogram;67070d27-426e-43e9-98e8-309952f78140
Chloroacetyl chloride;water;ocean;kilogram;21501e81-6395-4404-9cd6-001c6a686fd1
Propiconazole;water;ground-;kilogram;c1e943d6-a301-431d-ab72-779b5589deaf
Fenpiclonil;soil;agricultural;kilogram;d317b7de-adc0-478c-8c7f-9d6d0f476e97
Curium alpha;air;non-urban air or from high stacks;kilo Becquerel;f59ba4cd-0354-404c-94c3-905de50980f3
o-Dichlorobenzene;water;ocean;kilogram;d0caddde-f101-4d86-9beb-d46d2d430eb0
Propionic acid;air;unspecified;kilogram;a1ecc854-a399-4b01-bae2-3a88b12ed44f
Ethene, tetrachloro-;air;urban air close to ground;kilogram;d2d4b344-3c58-4b0c-868a-ac0bdb2027dc
Transformation, from forest, extensive;natural resource;land;square meter;e71f95a5-fd82-4128-9fd1-be3f0e85d0fc
Xenon-133;air;urban air close to ground;kilo Becquerel;8cebaf1d-94b3-4770-9b76-5b35ee06ed9a
Terpenes;air;unspecified;kilogram;96bec6ea-fd71-48a1-ae8b-87a7b818eb77
