Diclocymet,water,unspecified,kilogram,bbdc0a4a-b1a6-53a9-adeb-312aec2d8285
"Radioactive species, Nuclides, unspecified",water,ocean,kilo Becquerel,2bbffe32-86bd-485c-95a2-844bbfd42840
Cyazofamid,air,unspecified,kilogram,db263701-f351-55fe-b900-80167ceaa70c
Titanium ion,air,urban air close to ground,kilogram,f8f772bc-7204-4fda-aa97-080fd0f1b34c
Dodine,air,non-urban air or from high stacks,kilogram,c417a20c-c0af-5242-b70b-545cdfaf75aa
Penconazole,soil,unspecified,kilogram,e8918d4b-d8dc-50ec-a18d-3a42bf869a84
Buprofezin,soil,agricultural,kilogram,63e44a83-eb3d-44b6-9e2f-41b1b088d93d
"Transformation, from seabed, unspecified",natural resource,land,square meter,928ba839-d6e5-4d1e-b5fd-122998a9bbe2
Fluorine,water,surface water,kilogram,74a38fcc-cfc9-57d2-85a6-2f7e9c12c345
MCPA-thioethyl,soil,agricultural,kilogram,3cfa5d99-928c-57f8-bbb9-294712915210
Fenpropidin,soil,agricultural,kilogram,823b5396-5fc6-427e-8a03-aeeff965e986
MCPA-thioethyl,soil,forestry,kilogram,4eced114-a727-5529-b026-8f207c97f6c2
Hexythiazox,water,unspecified,kilogram,c457a8da-68f4-5701-80db-747cc439b2dd
Promecarb,soil,unspecified,kilogram,3d210b86-fea2-5ae4-a431-ff0740cc5a06
Strontium II,water,"ground-, long-term",kilogram,8f1b69d9-fc00-4b46-99f9-7a57fd71dad2
Americium-241,water,ground-,kilo Becquerel,395386b2-5696-4288-b076-adbdf2038dd3
Curium-242,air,"low population density, long-term",kilo Becquerel,fce7f1a7-7b02-4e95-9cee-d95275fbb916
Diethylene glycol,air,unspecified,kilogram,af7f6412-a55f-4799-b7bc-a3f69d0cc8cb
Monolinuron,air,unspecified,kilogram,072f5f6b-5671-5311-a73c-10b54a5e9e84
"Transformation, to annual crop",natural resource,land,square meter,c3f83a91-4888-41a4-add9-fd01678a1e5f
