Diallate,soil,forestry,kilogram,285559bb-1c5b-58ec-81d2-511ac3bf6192
Trimethylamine,air,urban air close to ground,kilogram,37d7d60d-3682-4da4-aa64-99c51b5d524b
m-Toluidine,water,unspecified,kilogram,d235002e-f92e-527d-af8f-650e8d523dc4
Hexamethyldisilazane,air,non-urban air or from high stacks,kilogram,0d30fcbb-9262-4026-8e0d-119fb12a04b0
Dimethyldichlorosilane,water,unspecified,kilogram,4c8e3c03-0943-5ddd-aa22-c0314291fdf9
Antimony-124,water,surface water,kilo Becquerel,077b92b0-0610-48ba-9ff8-55c13e98364b
Borate,water,surface water,kilogram,0a11b30c-b502-414a-8b73-31375233cc17
S-Bioallethrin,soil,unspecified,kilogram,25274268-b28c-5989-9c05-dd78546641fe
Hexane,water,ground-,kilogram,02381700-f27e-4ffa-b58f-e7309ad7f9e7
Kaolin,air,unspecified,kilogram,5bdb2d24-a721-5ade-9961-c6d76e51bad4
Benzal chloride,air,non-urban air or from high stacks,kilogram,1b4810ed-4537-4cca-83ef-5af8a04668a7
Benzoic acid,water,surface water,kilogram,5ba17181-54c9-5231-8ea7-a667bd1056a7
Yttrium-90,water,ground-,kilo Becquerel,8dc9b69a-4224-4588-be09-6dd1e52ba3f0
Potassium-40,air,"low population density, long-term",kilo Becquerel,dfffbe78-8173-4059-b3d8-a34b602d3eaa
Thiometon,air,non-urban air or from high stacks,kilogram,9763cd55-cb75-5571-aae7-06d7ba2b41f6
1-Pentanol,water,"ground-, long-term",kilogram,cfa50eaf-a817-4352-b9fe-aa834240d269
Halosulfuron-methyl,water,surface water,kilogram,47dfc2ad-9765-5653-b904-75c3b1225f11
Potassium soap,water,surface water,kilogram,577594e6-00c4-516a-a0bc-c8a62f68678f
Dicofol,air,unspecified,kilogram,95073baf-88bf-5ec7-9dd5-3bf5d170b76c
"Clay, bentonite",natural resource,in ground,kilogram,93806a54-46f5-409c-99c5-4144a1e73b5d
Potassium soap,soil,forestry,kilogram,e487512f-d381-5397-8c55-b0fcec3d8515
Piperophos,soil,forestry,kilogram,8882a0df-06cf-5fc2-882c-f575be4f0c26
Cyhalofop,water,unspecified,kilogram,5c586bac-17ce-5fb9-90e7-f0dd1b4fb6d7
Sodium chloroacetate,soil,agricultural,kilogram,bc33075e-28e2-5e55-9e11-42b356274dab
Potassium bicarbonate,soil,agricultural,kilogram,dabc143e-bf71-58b1-91a3-66a03a0c8195
Dimoxystrobin,air,non-urban air or from high stacks,kilogram,dca0d7c6-aa81-51dc-b97e-a71f128fae42
Pentachlorophenol,air,"low population density, long-term",kilogram,4b1709c7-df14-45be-a233-621c76d0b57f
Acrolein,air,unspecified,kilogram,d896ced7-a107-4017-b284-d95a8ef3e735
Chlorpyrifos,soil,agricultural,kilogram,736923cd-6eb7-4896-98f8-46951d56da97
Bis(trichloromethyl) sulfone,soil,unspecified,kilogram,8c548a06-185c-5b8b-9ec7-0405cf8a2e79
2-Aminopropanol,air,non-urban air or from high stacks,kilogram,b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9
"Transformation, from dump site",natural resource,land,square meter,5eb25424-acb6-4ffa-a96a-5fdef05f6515
Asulam-sodium,soil,unspecified,kilogram,ed51fad0-c0fa-5cbb-a7ba-61d65de27af7
Propamocarb HCl,air,unspecified,kilogram,eb2f09e9-5c91-557f-92df-3e073d9749eb
Anthracene,water,ground-,kilogram,a93b1c8a-f6f3-4cfa-b83d-a655ff57ef6e
Griseofulvin,water,surface water,kilogram,9fb8109f-3579-5e09-9b45-ea6379ea6f82
"Chlorides, unspecified",water,unspecified,kilogram,bd7b7cdb-34ff-422c-b994-6f0fe77a901f
Fluopicolide,soil,forestry,kilogram,78e7a811-78d1-5614-993c-4c2ef4587e70
Fenvalerate,soil,forestry,kilogram,d621acc5-9724-5347-ae28-8a254b0dc393
Zoxamide,soil,agricultural,kilogram,03b40051-311b-5e37-aad1-ea811907cc90
Oryzalin,water,unspecified,kilogram,f15c7a25-8998-5f7c-8a09-ea1a8b25bdfe
Daminozide,air,unspecified,kilogram,5674c7b9-c482-590f-8a7a-a52a5224e158
Carbetamide,water,surface water,kilogram,efddc87c-cd2c-5d8d-bd9c-4941b95cf589
"Methyl 2,5-dichlorobenzoate",soil,unspecified,kilogram,5ca722e6-9d5c-582e-b325-459ab310265f
Thiophanate-methyl,air,unspecified,kilogram,5fb092b2-04d2-5e05-a0b5-43b44ea2206c
Myclobutanil,soil,agricultural,kilogram,b10642d6-cd29-4cf0-9ebe-755902c9a3ae
Butoxycarboxim,air,unspecified,kilogram,f6e44166-a69b-5d4e-aa22-8e1ddb94cea4
Sodium chloride,natural resource,in ground,kilogram,0b9159dd-305d-4add-802f-f7b780ed0289
MCPA,soil,forestry,kilogram,b1736122-ffce-570c-a0a5-162514d3a21b
Ethylene oxide,air,non-urban air or from high stacks,kilogram,43a411aa-8f29-4744-bc56-1deaa8105338
Chloroacetyl chloride,water,ground-,kilogram,fa0d6d19-f82c-4e51-bfad-43a187f6662b
Fluoroglycofen,air,unspecified,kilogram,2fdf7032-fd48-5024-8462-8e304b0b7f7a
Hydrogen,water,surface water,kilogram,4d07c245-a030-5399-a74e-aaac30014ec3
Proquinazid,soil,forestry,kilogram,0c96db6f-3530-5309-bf45-4827c12a8604
Indaziflam,soil,unspecified,kilogram,639a9753-9c0d-555b-a82c-552e1f6e2c16
Dichlobenil,air,unspecified,kilogram,c8480bdc-0f50-59c8-b748-870ef40408ec
Triazophos,soil,agricultural,kilogram,bb16a7b2-8fde-5b53-9d70-32d89e8e0f9e
Quinmerac,air,unspecified,kilogram,1d7d020f-ae04-51d2-ba81-1d83a0ff8ab8
Bitertanol,soil,agricultural,kilogram,a74f6771-955e-4343-b796-4775067d51f5
Maleic anhydride,water,unspecified,kilogram,39ec593c-6c45-571f-8a6b-b76472bb4824
Potassium soap,soil,unspecified,kilogram,170849de-07d2-568b-b990-79d4801ace6d
Krypton-89,air,urban air close to ground,kilo Becquerel,db90e15b-d9d2-40ac-8b48-a409fe37f494
Methyl formate,water,ground-,kilogram,c1624070-6619-4143-b63e-1ec82d65ad23
m-Xylene,air,"low population density, long-term",kilogram,62bd2ced-16de-43c2-88e1-adfae242654e
Thiamethoxam,soil,agricultural,kilogram,9a8e2785-9175-4818-83ae-fc394e2d695a
Benazolin,water,unspecified,kilogram,7bfa91d0-0816-5968-a0dd-16a7492398a8
Titanium ion,water,unspecified,kilogram,a4c31e2a-915e-4ab2-accd-d3ae93d2e01e
"p,p'-DDD",soil,agricultural,kilogram,6a6133d4-7913-5254-8727-29593864f9a2
Kaolin,water,unspecified,kilogram,e167dcc3-74cf-561d-8639-178a7750b5af
Fluosilicic acid,water,ocean,kilogram,7fb8e798-1c30-4bfb-ba1a-66602300cd1b
Chlorsulfuron,water,unspecified,kilogram,088ef7ef-db15-525b-9d77-78ada62609e1
Halauxifen-methyl,water,unspecified,kilogram,f43b1df1-cdda-554d-a64d-2a031b056d88
Teflubenzuron,air,non-urban air or from high stacks,kilogram,9d791191-59b1-57ad-a739-65a101e684f1
Beryllium II,soil,forestry,kilogram,85c40d9a-cbf0-44f0-a9a2-5b1edee4055a
2-Allylphenol,soil,forestry,kilogram,90584514-dc3a-505b-a366-8dd2b1177966
"N-(3,5-Dichlorophenyl)succinimide",air,unspecified,kilogram,d47c9419-fcdd-5538-85d4-8ce334f68fbe
Butylate,soil,agricultural,kilogram,13b9c6e7-945d-5595-abb8-bef89286d848
Metaflumizone,water,unspecified,kilogram,01a8bc9d-6539-5f74-b700-d60abd705ed1
Boron carbide,water,"ground-, long-term",kilogram,4ba71de1-43c2-42fe-b477-93423ad2213c
Bensulfuron methyl ester,soil,forestry,kilogram,a0479750-fe46-5325-bbb0-7972f15c2a7f
Dimethylamine,air,urban air close to ground,kilogram,edf9fe90-37ee-4d8b-af9b-2e959422abfd
Beryllium II,soil,unspecified,kilogram,dbf49708-ee0c-44f2-8662-5edd89ad472b
Trifloxystrobin,soil,forestry,kilogram,1064362b-4806-554e-8b6b-25fbe82b778d
Monoethanolamine,air,unspecified,kilogram,9f550c00-0f0f-45e7-a29c-a450752d4c7a
Ipconazole,water,surface water,kilogram,f4d4071f-2f37-5b41-9791-37173e25e164
Europium,natural resource,in ground,kilogram,3d73ec21-de4d-5b68-b504-4ef59e15bd0e
Olivine,natural resource,in ground,kilogram,d7cadc9a-f42c-4711-a8e2-0b626c0a4c7a
Imidacloprid,air,non-urban air or from high stacks,kilogram,8b4bc248-8065-5b74-b946-e6f5aed2c5ec
Chlorphoxim,soil,agricultural,kilogram,a96e57cb-1ac9-5bbb-98ed-63610391f018
Haloxyfop,water,unspecified,kilogram,189cd7fd-303a-5406-b4bc-2bc1e8d678cb
Isodrin,soil,forestry,kilogram,a1079b63-5c33-5a02-9a08-34795da29add
Clomazone,soil,agricultural,kilogram,7120eec5-cf9a-4c69-83f2-f1a58813754c
Lenacil,soil,unspecified,kilogram,adb8042d-958a-58ed-9949-d58e2843b9a2
Dibutyl phthalate,water,ground-,kilogram,77241bc4-5911-40b8-927c-9bf5755c6634
Sulfoxaflor,soil,forestry,kilogram,3612f321-4621-522b-a834-b6ba609bdc02
Calcium II,soil,unspecified,kilogram,e681e6ba-2d66-4f17-8812-e8c74bdcf7e8
Phenkapton,soil,unspecified,kilogram,5e15f2fc-f275-59bd-b322-40457ad1fad9
Isopropanol,air,"low population density, long-term",kilogram,326b94e8-aea0-4bd4-8a50-63bf283882a8
Dichromate,water,"ground-, long-term",kilogram,b6ecaa32-6ab5-4060-b641-45a2bf7beded
Octhilinone,water,unspecified,kilogram,72d99cd9-0c3b-5e6e-84c6-b56963e074cf
Lead-210,water,unspecified,kilo Becquerel,2cfc5ba4-3db2-4193-9e81-b61e75ba1706
Dalapon,air,non-urban air or from high stacks,kilogram,92ad6e1b-b543-5352-ad59-bb6da7757767
Etofenprox,soil,forestry,kilogram,22f325b5-393e-5fd0-b194-2e5bf59cc4c7
Triclopyr triethylamine salt,water,surface water,kilogram,5a7ec00d-737b-5aa0-a48c-84717a864762
Dichlorofluoromethane,water,"ground-, long-term",kilogram,7ee2d61b-1f0d-4835-bd85-4a9e2e545000
Isocarbophos,water,unspecified,kilogram,a1dbf234-74c3-5e45-86e8-a4938bae48e8
Alpha-cypermethrin,soil,unspecified,kilogram,b4e1f3fe-c570-58a9-804c-bf4bf299c33c
Metazachlor,air,unspecified,kilogram,b0bcbf84-5648-510c-918e-0808b1deae15
Metamitron,water,surface water,kilogram,17436446-14d2-50ac-bbc7-627e948f8fad
Isoxathion,soil,forestry,kilogram,fb98db22-d221-5fb8-8b67-b1aa50e13ab6
Diclosulam,soil,forestry,kilogram,4361b27b-3ba6-56c4-8460-83405f058185
Metolcarb,soil,unspecified,kilogram,80dee07b-f2c1-5c48-bee9-ebc1702b77be
Acenaphthene,water,unspecified,kilogram,8732d8b5-7f41-498c-be37-5bcd7a802ee6
Cerium-141,water,ocean,kilo Becquerel,7847f01b-edfa-4957-85f5-78983331b4bb
Bifenthrin,water,unspecified,kilogram,531edab9-d121-51db-b613-af59901258c5
Bensulide,soil,unspecified,kilogram,9d0e390f-fb2b-596b-8fe9-ecb3ca71687b
Anthranilic acid,air,urban air close to ground,kilogram,48adac6a-94d3-4a65-901b-e60824c01a65
Edifenphos,water,surface water,kilogram,faecce4f-30e8-52be-aa8d-1711c2dfdbed
"Occupation, permanent crop",natural resource,land,square meter-year,e9007a6f-7244-44d4-a561-91ae1b6c6cfc
Metamitron,soil,forestry,kilogram,2235015a-278d-52c8-b575-7a5f2931b5fd
Erbon,air,non-urban air or from high stacks,kilogram,7da511e2-9d91-5cbc-8fba-9be9763fd328
"1,1-Difluoroethane",air,non-urban air or from high stacks,kilogram,1c4a106a-53bc-40f5-bcae-d30ab191dbfe
Iprobenfos,air,non-urban air or from high stacks,kilogram,38e79e46-1c47-5598-b869-d42c63bb4633
Flufenoxuron,water,unspecified,kilogram,bc007ad0-1de5-5fac-8666-41ea36eecdb2
Uranium-238,water,unspecified,kilo Becquerel,71d27d29-04f2-421a-981f-5c5c2b00486f
Technetium-99,water,ground-,kilo Becquerel,d651f8b6-28b4-44b1-9202-71f898a4ba06
Methylamine,water,surface water,kilogram,b1945566-c8ad-4d48-9135-c39eedde1e63
Hydramethylnon,air,unspecified,kilogram,9633bc35-5117-542d-9e91-8c7fde1d2d7d
Naled,soil,forestry,kilogram,6da3f514-4a19-5b09-9854-8243c7ac9982
Triflumizole,soil,unspecified,kilogram,c2b90e5c-322b-505a-b3c0-758c0e61977a
Cyanide,water,ground-,kilogram,904cd2c2-71ba-4fe5-b073-24a42301c94c
Lactic acid,water,"ground-, long-term",kilogram,2169a4c1-3198-48ed-92f4-4fa22ed44739
Uranium,air,urban air close to ground,kilogram,52317c31-7bdc-47de-9c23-ecf55127de75
Pyraflufen-ethyl,soil,agricultural,kilogram,2fee2825-acaa-562e-8611-e607b8f94fcc
Mefentrifluconazole,soil,agricultural,kilogram,a1f19e68-e0ca-4d2b-a159-38e9036542f3
Azadirachtin,water,unspecified,kilogram,240514b9-05b9-5b8f-a561-5fed1a8bb8b2
Erbon,water,unspecified,kilogram,3a3e0c87-bd56-5780-8f59-2f343fa40410
Methabenzthiazuron,soil,agricultural,kilogram,bb9a0c00-e0af-4926-8b0e-0a0be79abaf6
Methoxychlor,air,non-urban air or from high stacks,kilogram,63a234bb-1590-5881-bde0-02f557a8c22d
"Radiation, electromagnetic",air,non-urban air or from high stacks,megajoule,10f2525f-b35b-4d8a-ad99-03acf1afce6b
Benthiavalicarb-isopropyl,water,surface water,kilogram,af26a0a1-962f-51c9-a47d-604d360b75b6
Fenitrothion,soil,agricultural,kilogram,d75bdfae-385c-5082-aa89-e0ebdb26e33c
Triadimenol,air,unspecified,kilogram,d0e9ef6e-b156-5f09-a524-f43b589a4700
Nitrate,water,"ground-, long-term",kilogram,b61057a3-a0bc-4158-882e-b819c4797419
Imazapyr,air,non-urban air or from high stacks,kilogram,9d23d560-85e0-56cc-9c63-1461640e6df3
Silver I,air,non-urban air or from high stacks,kilogram,35df5fe0-c90d-43b4-a35a-3d97022114d2
Dimefuron,air,non-urban air or from high stacks,kilogram,1bfcc035-cb19-5e7d-aedc-5a0f2a66cc19
o-Chlorotoluene,water,ocean,kilogram,404f6e56-ea30-47ec-9679-ec3955d287b3
Pretilachlor,air,non-urban air or from high stacks,kilogram,7c86bdaa-1b98-5483-bb65-d2b45c2336cf
Haloxyfop,water,surface water,kilogram,43822aa0-5839-55c3-bd1a-3c3185fafe82
Diethyl carbonate,water,unspecified,kilogram,80e6f116-3d05-5e10-a6b1-122bbd1b21ee
Cyanoacetic acid,air,non-urban air or from high stacks,kilogram,74ed605a-a4b7-4574-8a36-4638928b092d
Fluometuron,water,unspecified,kilogram,53f4046e-7dcc-520a-8b3f-dfb9c45dafe5
