url,status,detail,source,disposition
https://docs.nrel.gov/docs/fy25osti/95135.pdf,broken,"HTTPSConnectionPool(host='docs.nrel.gov', port=443): Max retries exceeded with url: /docs/fy25osti/95135.pdf (Caused by NameResolutionError(""HTTPSConnection(host='docs.nrel.gov', port=443): Failed to resolve 'docs.nrel.gov' ([Errno 8] nodename nor servname provided, or not known)""))",methodology/electricity/photovoltaics.rst,Network/server failure; retry later
https://doi.org/10.1002/bbb.2395,broken,403 Client Error: Forbidden for url: https://scijournals.onlinelibrary.wiley.com/doi/10.1002/bbb.2395,methodology/fuels/biofuels.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1021/acs.est.8b02073,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.est.8b02073,methodology/battery-stationary.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1021/acssuschemeng.1c01915,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acssuschemeng.1c01915,methodology/fuels/ammonia.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1021/acs.est.8b05313,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.est.8b05313,methodology/battery-mobile.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1021/acssuschemeng.3c00141,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acssuschemeng.3c00141,methodology/battery-mobile.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1111/jiec.13234,broken,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/10.1111/jiec.13234,methodology/metals.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1039/D2SE90051C,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/se/article/6/17/4102/926117,methodology/electricity/photovoltaics.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1039/C9SE00986H,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/se/article/4/3/1427-1436/664857,methodology/fuels/synthetic.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1039/C9SE00658C,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/se/article/3/11/3219-3233/664772,methodology/fuels/synthetic.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.3390/rs13040743,broken,403 Client Error: Forbidden for url: https://www.mdpi.com/2072-4292/13/4/743,methodology/mining.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.3390/su141710901,broken,403 Client Error: Forbidden for url: https://www.mdpi.com/2071-1050/14/17/10901,methodology/mining.rst,Access denied; not evidence that the citation is invalid
https://doi.org/10.1039/D5EE01356A,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/ee/article/18/16/8009-8028/891277,methodology/steel.rst,Access denied; not evidence that the citation is invalid
